state,county_name,county_fips,trump_votes,biden_votes,total_votes,percent_biden,winner
TEXAS,BROWN,48049,13698,2107,15805,13.331224296108827,Trump
TEXAS,BURLESON,48051,6743,1788,8531,20.95885593717032,Trump
TEXAS,BURNET,48053,18767,5639,24406,23.10497418667541,Trump
TEXAS,CALDWELL,48055,8031,6672,14703,45.37849418486024,Trump
TEXAS,CALHOUN,48057,5641,2148,7789,27.57735267685197,Trump
TEXAS,CALLAHAN,48059,6012,734,6746,10.88052179069078,Trump
TEXAS,CAMERON,48061,49032,64063,113095,56.64529820062779,Biden
TEXAS,CAMP,48063,3626,1394,5020,27.768924302788843,Trump
TEXAS,CARSON,48065,2779,297,3076,9.655396618985696,Trump
TEXAS,CASS,48067,11033,2795,13828,20.212612091408737,Trump
TEXAS,CASTRO,48069,1602,466,2068,22.53384912959381,Trump
TEXAS,CHAMBERS,48071,17353,3997,21350,18.721311475409834,Trump
TEXAS,CHEROKEE,48073,15101,4210,19311,21.801046035938064,Trump
TEXAS,CHILDRESS,48075,1943,310,2253,13.759431868619618,Trump
TEXAS,CLAY,48077,5069,614,5683,10.804152736230863,Trump
TEXAS,COCHRAN,48079,809,177,986,17.951318458417852,Trump
TEXAS,COKE,48081,1586,178,1764,10.090702947845804,Trump
TEXAS,COLEMAN,48083,3641,451,4092,11.021505376344086,Trump
TEXAS,COLLIN,48085,252318,230945,483263,47.78867821455398,Trump
TEXAS,COLLINGSWORTH,48087,1048,155,1203,12.884455527847049,Trump
TEXAS,COLORADO,48089,7472,2420,9892,24.464213505863324,Trump
TEXAS,COMAL,48091,62740,24826,87566,28.35118653358609,Trump
TEXAS,COMANCHE,48093,5177,853,6030,14.145936981757878,Trump
TEXAS,CONCHO,48095,1058,197,1255,15.697211155378485,Trump
TEXAS,COOKE,48097,15596,3210,18806,17.069020525364245,Trump
TEXAS,CORYELL,48099,15438,7565,23003,32.88701473720819,Trump
TEXAS,COTTLE,48101,540,113,653,17.304747320061256,Trump
TEXAS,CRANE,48103,1247,241,1488,16.196236559139784,Trump
